commons-exec.src.main.org.apache.commons.exec.util.StringUtils_python_partial.json, StringUtils, 231-233:toString, success, 3
commons-exec.src.main.org.apache.commons.exec.util.StringUtils_python_partial.json, StringUtils, 140-220:stringSubstitution, failure, 59
commons-exec.src.main.org.apache.commons.exec.util.StringUtils_python_partial.json, StringUtils, 108-115:split, success, 3
commons-exec.src.main.org.apache.commons.exec.util.StringUtils_python_partial.json, StringUtils, 75-99:quoteArgument, failure, 20
commons-exec.src.main.org.apache.commons.exec.util.StringUtils_python_partial.json, StringUtils, 60-62:isQuoted, failure, 3
commons-exec.src.main.org.apache.commons.exec.util.StringUtils_python_partial.json, StringUtils, 50-52:fixFileSeparatorChar, failure, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 313-315:isVersion, failure, 4
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 232-305:isOs, success, 50
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 219-221:isName, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 209-211:isFamilyZOS, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 200-202:isFamilyWinNT, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 191-193:isFamilyWindows, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 182-184:isFamilyWin9x, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 173-175:isFamilyUnix, failure, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 164-166:isFamilyTandem, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 155-157:isFamilyOS400, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 146-148:isFamilyOS2, failure, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 137-139:isFamilyOpenVms, failure, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 128-130:isFamilyNetware, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 119-121:isFamilyMac, failure, 4
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 110-112:isFamilyDOS, success, 3
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 91-93:isArch, success, 4
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 320-321:OS, success, 2
commons-exec.src.main.org.apache.commons.exec.OS_python_partial.json, OS, 101-103:isFamily, success, 38
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, Argument, 52-54:isHandleQuoting, success, 2
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, Argument, 48-50:getValue, success, 2
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, Argument, 43-46:Argument, success, 3
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 413-415:toString, success, 2
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 422-427:toStrings, success, 5
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 386-388:setSubstitutionMap, success, 2
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 377-379:isFile, error, 4
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 368-370:getSubstitutionMap, success, 2
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 356-361:getExecutable, success, 6
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 336-349:getArguments, success, 12
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 311-318:addArguments3, success, 6
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 300-302:addArguments2, success, 3
commons-exec.src.main.org.apache.commons.exec.CommandLine_python_partial.json, CommandLine, 285-292:addArguments1, success, 7
