commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 309-309:use, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 306-306:toString, success, 6
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 297-297:startEvictionTest, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 278-278:setLogAbandoned, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 270-270:printStackTrace, success, 12
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 262-262:markReturning, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 259-259:markAbandoned, success, 15
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 256-256:invalidate, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 253-253:hashCode, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 250-250:getState, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 243-243:getObject, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 236-236:getLastUsedTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 211-211:getLastReturnTime, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 192-192:getLastBorrowTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 173-173:getIdleTimeMillis, failure, 9
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 139-139:getCreateTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 109-109:getActiveTimeMillis, success, 9
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 71-71:equals, success, 5
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 68-68:endEvictionTest, success, 4
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 60-60:deallocate, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 52-52:compareTo, success, 9
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 40-40:allocate, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 289-289:setRequireFullStackTrace, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 222-224:getLastUsedInstant, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 200-202:getLastReturnInstant, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 181-183:getLastBorrowInstant, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 161-163:getIdleTime, failure, 9
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 148-150:getIdleDuration, failure, 9
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 127-129:getCreateInstant, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 117-119:getBorrowedCount, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 97-99:getActiveTime, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObject_python_partial.json, PooledObject, 80-86:getActiveDuration, success, 4
commons-pool.src.main.org.apache.commons.pool2.PooledObjectFactory_python_partial.json, PooledObjectFactory, 126-126:validateObject, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObjectFactory_python_partial.json, PooledObjectFactory, 117-117:passivateObject, success, 3
commons-pool.src.main.org.apache.commons.pool2.PooledObjectFactory_python_partial.json, PooledObjectFactory, 107-107:makeObject, success, 2
commons-pool.src.main.org.apache.commons.pool2.PooledObjectFactory_python_partial.json, PooledObjectFactory, 80-80:destroyObject0, success, 4
commons-pool.src.main.org.apache.commons.pool2.PooledObjectFactory_python_partial.json, PooledObjectFactory, 63-63:activateObject, failure, 4
commons-pool.src.main.org.apache.commons.pool2.PooledObjectFactory_python_partial.json, PooledObjectFactory, 94-97:destroyObject1, success, 4
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 44-65:getFactoryType, failure, 15
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 222-224:toDuration, failure, 20
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 210-212:nonNull, failure, 3
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 182-201:toChronoUnit, failure, 20
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 172-174:min, failure, 3
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 159-161:max, failure, 3
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 146-148:isPositive, failure, 3
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 133-144:getTypeParameter, failure, 12
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 109-121:getParameterizedType, failure, 9
commons-pool.src.main.org.apache.commons.pool2.impl.PoolImplUtils_python_partial.json, PoolImplUtils, 75-99:getGenericType, failure, 19
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 180-190:toString, success, 11
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 160-162:getIdleSoftEvictTimeDuration, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 146-148:getIdleSoftEvictTime, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 119-121:getIdleEvictTimeDuration, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 104-106:getIdleEvictTime, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 73-79:EvictionConfig0, failure, 7
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 172-174:getMinIdle, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 132-134:getIdleSoftEvictDuration, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 90-92:getIdleEvictDuration, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionConfig_python_partial.json, EvictionConfig, 48-59:EvictionConfig, error, 5
commons-pool.src.main.org.apache.commons.pool2.impl.EvictionPolicy_python_partial.json, EvictionPolicy, 40-40:evict, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.CallStack_python_partial.json, CallStack, 55-55:printStackTrace, success, 7
commons-pool.src.main.org.apache.commons.pool2.impl.CallStack_python_partial.json, CallStack, 46-46:fillInStackTrace, success, 3
commons-pool.src.main.org.apache.commons.pool2.impl.CallStack_python_partial.json, CallStack, 39-39:clear, success, 3
commons-pool.src.main.org.apache.commons.pool2.impl.DefaultEvictionPolicy_python_partial.json, DefaultEvictionPolicy, 44-49:evict, success, 3
commons-pool.src.main.org.apache.commons.pool2.BaseObject_python_partial.json, BaseObject, 27-34:toString, success, 8
commons-pool.src.main.org.apache.commons.pool2.BaseObject_python_partial.json, BaseObject, 42-42:toStringAppendFields, success, 3
commons-pool.src.main.org.apache.commons.pool2.impl.NoOpCallStack_python_partial.json, NoOpCallStack, 42-44:printStackTrace, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.NoOpCallStack_python_partial.json, NoOpCallStack, 39-39:fillInStackTrace, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.NoOpCallStack_python_partial.json, NoOpCallStack, 36-36:clear, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.NoOpCallStack_python_partial.json, NoOpCallStack, 33-33:NoOpCallStack, failure, 2
commons-pool.src.main.org.apache.commons.pool2.TrackedUse_python_partial.json, TrackedUse, 38-38:getLastUsed, failure, 2
commons-pool.src.main.org.apache.commons.pool2.TrackedUse_python_partial.json, TrackedUse, 50-52:getLastUsedInstant, success, 2
commons-pool.src.main.org.apache.commons.pool2.ObjectPool_python_partial.json, ObjectPool, 189-189:returnObject, success, 4
commons-pool.src.main.org.apache.commons.pool2.ObjectPool_python_partial.json, ObjectPool, 157-157:invalidateObject0, success, 4
