| Node                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/LinkedBlockingDeque.java:227:32:227:35             | LinkedBlockingDeque               |
| Foo                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:28:26:28:28                               | PoolTest                          |
| PooledFooFactory                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:30:26:30:41                               | PoolTest                          |
| ErodingFactor                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:51:32:51:44                              | PoolUtils                         |
| ErodingKeyedObjectPool                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:116:26:116:47                            | PoolUtils                         |
| ErodingObjectPool                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:288:26:288:42                            | PoolUtils                         |
| ErodingPerKeyKeyedObjectPool                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:404:32:404:59                            | PoolUtils                         |
| KeyedObjectPoolMinIdleTimerTask                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:457:32:457:62                            | PoolUtils                         |
| ObjectPoolMinIdleTimerTask                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:526:32:526:57                            | PoolUtils                         |
| SynchronizedKeyedObjectPool                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:593:32:593:58                            | PoolUtils                         |
| SynchronizedKeyedPooledObjectFactory                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:767:32:767:67                            | PoolUtils                         |
| SynchronizedObjectPool                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:866:32:866:53                            | PoolUtils                         |
| SynchronizedPooledObjectFactory                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1007:32:1007:62                          | PoolUtils                         |
| TimerHolder                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1100:18:1100:28                          | PoolUtils                         |
| TestObjectPool                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestBaseObjectPool.java:32:26:32:39                     | TestBaseObjectPool                |
| FailingKeyedPooledObjectFactory                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestKeyedObjectPool.java:34:28:34:58                    | TestKeyedObjectPool               |
| MethodCallLogger                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestPoolUtils.java:53:26:53:41                          | TestPoolUtils                     |
| DefaultTrackedUse                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestTrackedUse.java:32:11:32:27                         | TestTrackedUse                    |
| EvictionIterator                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:58:11:58:26             | BaseGenericObjectPool             |
| Evictor                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:111:11:111:17           | BaseGenericObjectPool             |
| IdentityWrapper                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:147:18:147:32           | BaseGenericObjectPool             |
| StatsStore                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:192:19:192:28           | BaseGenericObjectPool             |
| Reaper                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:56:26:56:31                     | EvictionTimer                     |
| WeakRunner                                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:79:26:79:35                     | EvictionTimer                     |
