| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:54:14:54:24                                       | LCPForDelta                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:54:14:54:24                                       | Object                                        | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:107:37:108:58                                     | compress                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:102:20:102:27                                     | checkBigNumbers                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:429:31:429:45                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:126:44:127:44                                     | compress                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:102:20:102:27                                     | compressOneBlockCore                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:144:20:144:39                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:112:39:113:48                                     | compress                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:102:20:102:27                                     | estimateCompressedSize                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:399:27:399:48                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:116:47:117:56                                     | compress                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:102:20:102:27                                     | estimateCompressedSize                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:399:27:399:48                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:160:33:161:45                                     | compressOneBlockCore                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:144:20:144:39                                     | writeBits                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:579:34:579:42                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:165:33:166:59                                     | compressOneBlockCore                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:144:20:144:39                                     | writeBits                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:579:34:579:42                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:185:45:187:43                                     | compressOneBlockCore                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:144:20:144:39                                     | compressBlockByS16                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:496:28:496:45                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:190:45:192:54                                     | compressOneBlockCore                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:144:20:144:39                                     | compressBlockByS16                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:496:28:496:45                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:219:33:220:45                                     | compressOneBlockCore2                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:203:23:203:43                                     | writeBits                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:579:34:579:42                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:224:33:225:59                                     | compressOneBlockCore2                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:203:23:203:43                                     | writeBits                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:579:34:579:42                                      |
