| BinaryEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:25:23:25:47                   | testEncodeNull                                                                           | public       | void                       | V                                                              | testEncodeNull()                                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:36:17:36:30                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:36:51:43:5                    |
| BinaryEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:25:23:25:47                   | testEncodeEmpty                                                                          | public       | void                       | V                                                              | testEncodeEmpty()                                                                          | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:30:17:30:31                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:30:52:33:5                    |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testUtf8                                                                                 | public       | void                       | V                                                              | testUtf8()                                                                                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:58:17:58:24                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:58:28:60:5                             |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testUtf16Le                                                                              | public       | void                       | V                                                              | testUtf16Le()                                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:53:17:53:27                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:53:31:55:5                             |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testUtf16Be                                                                              | public       | void                       | V                                                              | testUtf16Be()                                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:48:17:48:27                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:48:31:50:5                             |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testUtf16                                                                                | public       | void                       | V                                                              | testUtf16()                                                                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:43:17:43:25                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:43:29:45:5                             |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testUsAscii                                                                              | public       | void                       | V                                                              | testUsAscii()                                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:38:17:38:27                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:38:31:40:5                             |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testIso8859_1                                                                            | public       | void                       | V                                                              | testIso8859_1()                                                                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:33:17:33:29                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:33:33:35:5                             |
| CharEncodingTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:24:14:24:29                            | testConstructor                                                                          | public       | void                       | V                                                              | testConstructor()                                                                          | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:28:17:28:31                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharEncodingTest.java:28:35:30:5                             |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf8                                                                                 | public       | void                       | V                                                              | testUtf8()                                                                                 | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:70:17:70:24                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:70:28:72:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf8                                                                                 | public       | void                       | V                                                              | testUtf8()                                                                                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:70:17:70:24                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:70:28:72:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf16Le                                                                              | public       | void                       | V                                                              | testUtf16Le()                                                                              | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:64:17:64:27                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:64:31:66:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf16Le                                                                              | public       | void                       | V                                                              | testUtf16Le()                                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:64:17:64:27                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:64:31:66:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf16Be                                                                              | public       | void                       | V                                                              | testUtf16Be()                                                                              | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:58:17:58:27                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:58:31:60:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf16Be                                                                              | public       | void                       | V                                                              | testUtf16Be()                                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:58:17:58:27                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:58:31:60:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf16                                                                                | public       | void                       | V                                                              | testUtf16()                                                                                | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:52:17:52:25                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:52:29:54:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUtf16                                                                                | public       | void                       | V                                                              | testUtf16()                                                                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:52:17:52:25                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:52:29:54:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUsAscii                                                                              | public       | void                       | V                                                              | testUsAscii()                                                                              | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:46:17:46:27                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:46:31:48:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testUsAscii                                                                              | public       | void                       | V                                                              | testUsAscii()                                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:46:17:46:27                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:46:31:48:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testIso8859_1                                                                            | public       | void                       | V                                                              | testIso8859_1()                                                                            | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:40:17:40:29                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:40:33:42:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testIso8859_1                                                                            | public       | void                       | V                                                              | testIso8859_1()                                                                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:40:17:40:29                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:40:33:42:5                                 |
| CharsetsTest                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:27:14:27:25                                | testToCharset                                                                            | public       | void                       | V                                                              | testToCharset()                                                                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:30:17:30:29                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java:30:33:36:5                                 |
| DecoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:26:14:26:33                        | testConstructorThrowable                                                                 | public       | void                       | V                                                              | testConstructorThrowable()                                                                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:54:17:54:40                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:54:44:58:5                         |
| DecoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:26:14:26:33                        | testConstructorStringThrowable                                                           | public       | void                       | V                                                              | testConstructorStringThrowable()                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:47:17:47:46                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:47:50:51:5                         |
| DecoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:26:14:26:33                        | testConstructorString                                                                    | public       | void                       | V                                                              | testConstructorString()                                                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:40:17:40:37                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:40:41:44:5                         |
| DecoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:26:14:26:33                        | testConstructor0                                                                         | public       | void                       | V                                                              | testConstructor0()                                                                         | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:33:17:33:32                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/DecoderExceptionTest.java:33:36:37:5                         |
| EncoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:26:14:26:33                        | testConstructorThrowable                                                                 | public       | void                       | V                                                              | testConstructorThrowable()                                                                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:54:17:54:40                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:54:44:58:5                         |
