| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/CharEncoding.java:59:14:59:25                                |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/Charsets.java:60:14:60:21                                    |    0 |      |
| new CodecPolicy(...)                            | CodecPolicy()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/CodecPolicy.java:28:5:28:10                                  |    0 |      |
| new CodecPolicy(...)                            | CodecPolicy()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/CodecPolicy.java:31:5:31:11                                  |    0 |      |
| super(...)                                      | Enum(String, int)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/CodecPolicy.java:25:13:25:23                                 |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/Resources.java:27:14:27:22                                   |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:42:12:42:34                     |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodec.java:99:9:99:15                            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodec.java:333:15:333:24                         |    0 |      |
| new Context(...)                                | Context()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodec.java:405:33:405:45                         |    0 |      |
| new Context(...)                                | Context()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodec.java:482:33:482:45                         |    0 |      |
| new Context(...)                                | Context()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodecInputStream.java:44:37:44:49                |    0 |      |
| new IndexOutOfBoundsException(...)              | IndexOutOfBoundsException()              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodecInputStream.java:136:19:136:49              |    0 |      |
| new IndexOutOfBoundsException(...)              | IndexOutOfBoundsException()              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodecInputStream.java:139:19:139:49              |    0 |      |
| new Context(...)                                | Context()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java:47:37:47:49               |    0 |      |
| new IndexOutOfBoundsException(...)              | IndexOutOfBoundsException()              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java:154:19:154:49             |    0 |      |
| new IndexOutOfBoundsException(...)              | IndexOutOfBoundsException()              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java:157:19:157:49             |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/BinaryCodec.java:33:14:33:24                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/CharSequenceUtils.java:27:14:27:30                    |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/Hex.java:405:12:405:14                                |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/binary/StringUtils.java:41:14:41:24                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/cli/Digest.java:50:13:50:18                                  |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/B64.java:30:7:30:9                                    |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java:119:13:119:18                             |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java:401:9:401:14                              |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java:452:9:452:18                              |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java:507:9:507:19                              |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Crypt.java:28:14:28:18                                |    0 |      |
| super(...)                                      | Enum(String, int)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/HmacAlgorithms.java:97:5:97:18                        |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/HmacUtils.java:42:20:42:28                            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Md5Crypt.java:41:14:41:21                             |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/MessageDigestAlgorithms.java:162:13:162:35            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash2.java:59:13:59:23                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java:97:13:97:23                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java:992:25:992:44                        |    0 |      |
| super(...)                                      | IncrementalHash32x86()                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java:1160:25:1160:41                      |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/PureJavaCrc32.java:46:12:46:24                        |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/PureJavaCrc32C.java:43:12:43:25                       |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java:34:14:34:22                            |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/digest/UnixCrypt.java:40:14:40:22                            |    0 |      |
