| Headers                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:9:196:15            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:87:199:9            | Headers(Map<String,Integer>, List<String>)                                                                                                                                                     |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:17:196:52            | super(...)                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:9:196:15            |
| Headers                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:9:196:15            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:87:199:9            | Headers(Map<String,Integer>, List<String>)                                                                                                                                                     |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:55:196:84            | super(...)                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:196:9:196:15            |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | requireNonNull(...)             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:387:9:387:48            |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | requireNonNull(...)             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:388:9:388:48            |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | copy(...)                       | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:390:23:390:35           |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | createHeaders(...)              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:393:24:393:38           |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | <obinit>(...)                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | super(...)                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | new CSVRecordIterator(...)      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:392:34:392:56           |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | new ExtendedBufferedReader(...) | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:391:40:391:73           |
| CSVParser              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:381:12:381:20           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:386:32:396:5            | CSVParser(Reader, CSVFormat, long, long)                                                                                                                                                       |    4 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:382:13:382:31            | new Lexer(...)                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:391:22:391:74           |
