| Builder                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:164:25:164:31            | CSVFormat              |
| Type                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/Token.java:29:10:29:13                  | Token                  |
| Predefined                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:683:17:683:26            | CSVFormat              |
| EmptyEnum                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:51:17:51:25          | CSVFormatTest          |
| Header                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:53:17:53:22          | CSVFormatTest          |
| CSVRecordIterator                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:139:11:139:27            | CSVParser              |
| Headers                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java:188:32:188:38            | CSVParser              |
| Stats                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:47:26:47:30        | PerformanceTest        |
| new IntFunction<String>(...) { ... }                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:1246:32:1246:69          | CSVFormat              |
| new Consumer<?>(...) { ... }                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java:275:17:281:17           | CSVPrinter             |
| new BiConsumer<String,Integer>(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVRecord.java:263:25:267:25            | CSVRecord              |
| new Predicate<Arguments>(...) { ... }                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:46:25:48:77 | CSVDuplicateHeaderTest |
| new Function<Arguments,Stream<? extends Arguments>>(...) { ... } | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:50:25:63:25 | CSVDuplicateHeaderTest |
| new Function<Object[],Arguments>(...) { ... }                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:62:60:62:72 | CSVDuplicateHeaderTest |
| new FilenameFilter(...) { ... }                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:46:36:46:98      | CSVFileParserTest      |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:82:17:82:75          | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:90:17:90:82          | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:97:17:102:40         | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:110:17:110:75        | CSVFormatTest          |
