| new Vector<Argument>(...)             | Vector<Argument>()             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:170:48:170:61                            |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:43:17:43:24                              |    0 |      |
| new ArrayList<String>(...)            | ArrayList<String>()            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:114:40:114:56                            |    0 |      |
| new StringBuilder(...)                | StringBuilder()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:115:33:115:51                            |    0 |      |
| new StringBuilder(...)                | StringBuilder()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:145:35:145:53                            |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:192:12:192:22                            |    0 |      |
| new Builder(...)                      | Builder()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java:55:16:55:28                           |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java:43:12:43:38              |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:57:25:57:31                          |    0 |      |
| new Builder<T>(...)                   | Builder<T>()                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:132:16:132:30                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:177:5:177:19                         |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:266:39:276:9                         |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ExecuteWatchdog.java:59:31:59:37                          |    0 |      |
| new Builder(...)                      | Builder()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ExecuteWatchdog.java:111:16:111:28                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ExecuteWatchdog.java:157:13:157:27                        |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/InputStreamPumper.java:50:12:50:28                        |    0 |      |
| super(...)                            | OutputStream()                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/LogOutputStream.java:81:12:81:26                          |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/OS.java:320:13:320:14                                     |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:108:13:108:29                      |    0 |      |
| new Vector<Process>(...)              | Vector<Process>()              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:48:47:48:60             |    0 |      |
| super(...)                            | Object()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:67:12:67:39             |    0 |      |
| new ProcessDestroyerThread(...)       | ProcessDestroyerThread()       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:93:36:93:63             |    0 |      |
| ...->...                              | ()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/ShutdownHookProcessDestroyer.java:168:31:174:13           |    0 |      |
