| setFileItemFactory | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUpload.java:75:17:75:34                | setFileItemFactory | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:139:26:139:43    | FileUploadBase      |
| getFileItemFactory | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUpload.java:65:28:65:45                | getFileItemFactory | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:132:37:132:54    | FileUploadBase      |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:726:26:726:33          | getCause           | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | Throwable           |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | Throwable           |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | FileUploadException |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:89:22:89:29 | Throwable           |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:89:22:89:29 | FileUploadException |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | Throwable           |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | FileUploadException |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:89:22:89:29 | Throwable           |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:793:26:793:33          | getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:89:22:89:29 | FileUploadException |
| getCause           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:89:22:89:29       | getCause           | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | Throwable           |
| printStackTrace    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:79:17:79:31       | printStackTrace    | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | Throwable           |
| printStackTrace    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:65:17:65:31       | printStackTrace    | file:///modules/java.base/java/lang/Throwable.class:0:0:0:0                                                                                                        | Throwable           |
