| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:42:20:42:48               | SCCAlgorithmBenchmarkTestCase                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:42:20:42:48               | Object                                                                         | file:///87/java.base/java/lang/Object.sig:0:0:0:0                                                                                                                                                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:51:17:75:26               | setUp                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:49:24:49:28               | newDirectedMutableGraph                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/main/java/org/apache/commons/graph/CommonsGraph.java:187:53:187:75                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:25:75:25               | setUp                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:49:24:49:28               |                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:29:52:87             |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:29:52:87               |                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:29:52:87               | AbstractGraphConnection                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/AbstractGraphConnection.java:30:23:30:45                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:55:41:55:74               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | ArrayList<BaseLabeledVertex>                                                   | file:///89A/java.base/java/util/ArrayList.sig:0:0:0:0                                                                                                                                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:62:44:62:55               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | Random                                                                         | file:///8/java.base/java/util/Random.sig:0:0:0:0                                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:57:59:57:91               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | BaseLabeledVertex                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/test/java/org/apache/commons/graph/model/BaseLabeledVertex.java:35:12:35:28                             |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:57:81:57:90               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | valueOf                                                                        | file:///8/java.base/java/lang/String.sig:0:0:0:0                                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:58:37:58:48               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | addVertex                                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/target/classes/org/apache/commons/graph/builder/AbstractGraphConnection.class:0:0:0:0                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:59:37:59:51               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | add                                                                            | file:///8/java.base/java/util/List.sig:0:0:0:0                                                                                                                                                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:64:46:64:61               | connect0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:53:41:53:48               | nextInt                                                                        | file:///8/java.base/java/util/Random.sig:0:0:0:0                                                                                                                                                     |
