| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:42:20:42:48               |    0 |      |
| new (...)                                                                          | ()                                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:25:75:25               |    0 |      |
| super(...)                                                                         | AbstractGraphConnection()                                                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:52:29:52:87               |    0 |      |
| new ArrayList<BaseLabeledVertex>(...)                                              | ArrayList<BaseLabeledVertex>()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:55:41:55:74               |    0 |      |
| new Random(...)                                                                    | Random()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/scc/SCCAlgorithmBenchmarkTestCase.java:62:44:62:55               |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:47:20:47:51   |    0 |      |
| new Random(...)                                                                    | Random()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:128:20:128:31 |    0 |      |
| new DoubleWeightBaseOperations(...)                                                | DoubleWeightBaseOperations()                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:69:28:69:59   |    0 |      |
| new (...)                                                                          | ()                                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:72:17:77:17   |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:72:21:72:67   |    0 |      |
| new (...)                                                                          | ()                                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:81:25:120:25  |    0 |      |
| new Random(...)                                                                    | Random()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/benchmarks/java/org/apache/commons/graph/shortestpath/UniVsBiDijkstraBenchmarkTestCase.java:83:40:83:51   |    0 |      |
