| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:12:51:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:84:53:5                               | MethodCall(String, Object, Object)                                    |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:23:51:39                               | asList(...)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:52:20:52:48                               |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:12:51:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:84:53:5                               | MethodCall(String, Object, Object)                                    |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:23:51:39                               | this(...)                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:52:9:52:50                                |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:12:51:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:84:53:5                               | MethodCall(String, Object, Object)                                    |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:42:51:60                               | asList(...)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:52:20:52:48                               |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:12:51:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:84:53:5                               | MethodCall(String, Object, Object)                                    |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:42:51:60                               | this(...)                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:52:9:52:50                                |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:12:51:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:84:53:5                               | MethodCall(String, Object, Object)                                    |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:63:51:81                               | asList(...)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:52:20:52:48                               |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:12:51:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:84:53:5                               | MethodCall(String, Object, Object)                                    |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:51:63:51:81                               | this(...)                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:52:9:52:50                                |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:12:47:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:62:49:5                               | MethodCall(String, Object)                                            |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:23:47:39                               | singletonList(...)                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:48:20:48:51                               |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:12:47:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:62:49:5                               | MethodCall(String, Object)                                            |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:23:47:39                               | this(...)                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:48:9:48:53                                |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:12:47:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:62:49:5                               | MethodCall(String, Object)                                            |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:42:47:59                               | singletonList(...)                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:48:20:48:51                               |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:12:47:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:62:49:5                               | MethodCall(String, Object)                                            |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:47:42:47:59                               | this(...)                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:48:9:48:53                                |
| MethodCall                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:69:45:5                               | MethodCall(String, List<Object>)                                      |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:23:35:39                               | emptyList(...)                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:43:27:43:49                               |
