| StringConverterFactory   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/StringConverterFactory.java:26:18:26:39   | findConverter     | findConverter(Class<?>)                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/StringConverterFactory.java:35:24:35:36   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/StringConverterFactory.java:35:24:35:36   |
| TypedFromStringConverter | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/TypedFromStringConverter.java:27:11:27:34 | getEffectiveType  | getEffectiveType()                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/TypedFromStringConverter.java:38:14:38:29 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/TypedFromStringConverter.java:38:14:38:29 |
| FromStringConverter      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/FromStringConverter.java:26:18:26:36      | convertFromString | convertFromString(Class<? extends T>, String) | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/FromStringConverter.java:35:7:35:23       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/FromStringConverter.java:35:7:35:23       |
| ToStringConverter        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/ToStringConverter.java:26:18:26:34        | convertToString   | convertToString(T)                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/ToStringConverter.java:34:12:34:26        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/ToStringConverter.java:34:12:34:26        |
| FromStringFactory        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/FromStringFactory.java:38:19:38:35        | factory           | factory()                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/FromStringFactory.java:46:14:46:20        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/FromStringFactory.java:46:14:46:20        |
| TypedStringConverter     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/TypedStringConverter.java:27:18:27:37     | getEffectiveType  | getEffectiveType()                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/TypedStringConverter.java:39:14:39:29     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/TypedStringConverter.java:39:14:39:29     |
| HasCodeInterface         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/HasCodeInterface.java:19:18:19:33         | getCode           | getCode()                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/HasCodeInterface.java:21:23:21:29         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/HasCodeInterface.java:21:23:21:29         |
| Test1Interface           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test1/Test1Interface.java:21:18:21:31     | print             | print()                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test1/Test1Interface.java:24:12:24:16     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test1/Test1Interface.java:24:12:24:16     |
| Test2Interface           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test2/Test2Interface.java:23:18:23:31     | print             | print()                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test2/Test2Interface.java:26:12:26:16     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test2/Test2Interface.java:26:12:26:16     |
| Test3Interface           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test3/Test3Interface.java:23:18:23:31     | toString          | toString()                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test3/Test3Interface.java:27:12:27:19     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test3/Test3Interface.java:27:12:27:19     |
| Test4Interface           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test4/Test4Interface.java:23:18:23:31     | print             | print()                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test4/Test4Interface.java:26:12:26:16     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/test4/Test4Interface.java:26:12:26:16     |
| AltCharSequence                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    | subSequence                                                            | subSequence(int, int)                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:32:25:32:35                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:32:57:34:5                                     |
| AltCharSequence                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    | charAt                                                                 | charAt(int)                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:27:17:27:22                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:27:35:29:5                                     |
| AltCharSequence                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    | length                                                                 | length()                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:22:16:22:21                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:22:25:24:5                                     |
| AltCharSequence                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    | AltCharSequence                                                        | AltCharSequence()                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | toString                                                               | toString()                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:272:19:272:26                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:272:30:274:5                  |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | findFromStringConverter                                                | findFromStringConverter(Class<T>)                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:77:37:77:59                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:77:75:79:5                    |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | findConverter                                                          | findConverter(Class<?>)                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:44:31:44:43                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:44:59:46:5                    |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | eliminateEnumSubclass                                                  | eliminateEnumSubclass(Class<?>)                                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:263:22:263:42                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:263:58:269:5                  |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | findFromString                                                         | findFromString(Class<?>)                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:220:20:220:33                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:220:49:261:5                  |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | findFromStringMethod                                                   | findFromStringMethod(Class<T>, boolean)                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:181:45:181:64                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:182:55:210:5                  |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | findFromStringConstructor                                              | findFromStringConstructor(Class<T>)                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:155:45:155:69                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:155:85:171:5                  |
| AnnotationStringConverterFactory                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:28:13:28:44                   | findToStringMethod                                                     | findToStringMethod(Class<?>)                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:107:20:107:37                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:107:53:145:5                  |
