| new AnnotationStringConverterFactory(...)                    | AnnotationStringConverterFactory()                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:31:62:31:99                   |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:34:13:34:44                   |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/ConstructorFromStringConverter.java:43:5:43:34                      |    0 |      |
| new EnumStringConverterFactory(...)                          | EnumStringConverterFactory()                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:28:52:28:83                         |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:31:13:31:38                         |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:60:9:60:27                          |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:393:5:393:22                                |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/MethodFromStringConverter.java:47:5:47:29                           |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:46:5:46:33                       |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:46:5:46:30                          |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/OptionalLongStringConverter.java:46:5:46:31                         |    0 |      |
