| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:21:369:37                     | setScale(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:375:49:375:66                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:21:369:37                     | scale(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:375:28:375:41                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:21:369:37                     | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:40:369:56                     | setScale(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:375:49:375:66                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:40:369:56                     | scale(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:375:28:375:41                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:40:369:56                     | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:59:369:79                     | setScale(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:375:49:375:66                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:59:369:79                     | scale(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:375:28:375:41                     |
| BigMoney                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:82:381:5                     | BigMoney(int, BigDecimal, CurrencyUnit)                                              |    3 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:59:369:79                     | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:369:12:369:19                     |
| CurrencyMismatchException | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:12:43:36      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:95:51:5      | CurrencyMismatchException(CurrencyUnit, CurrencyUnit)                                |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:38:43:63      | getCode(...)                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:46:52:46:74      |
| CurrencyMismatchException | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:12:43:36      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:95:51:5      | CurrencyMismatchException(CurrencyUnit, CurrencyUnit)                                |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:43:38:43:63      | getCode(...)                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-money/src/main/java/org/joda/money/CurrencyMismatchException.java:48:53:48:76      |
