| import LCPForDelta                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/LCPForDelta_ESTest.java:11:1:11:42                                                   |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:26:1:26:26                                                          |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDeltaUnpack128WIthIntBuffer.java:9:1:9:26                                        |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/main/java/me/lemire/integercompression/DeltaZigzagVariableByte.java:9:1:9:26                                          |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/main/java/me/lemire/integercompression/VariableByte.java:11:1:11:26                                                   |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/main/java/me/lemire/integercompression/differential/IntegratedVariableByte.java:11:1:11:26                            |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/LCPForDelta_ESTest.java:13:1:13:26                                                   |
| import IntBuffer                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/PForDeltaUnpack128WIthIntBuffer_ESTest.java:13:1:13:26                               |
| import EvoRunnerParameters                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/LCPForDelta_ESTest.java:15:1:15:48                                                   |
| import EvoRunnerParameters                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/PForDeltaUnpack128WIthIntBuffer_ESTest.java:15:1:15:48                               |
| import EvoRunnerParameters                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/PForDeltaUnpack128_ESTest.java:13:1:13:48                                            |
| import EvoRunnerParameters                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/PForDelta_ESTest.java:13:1:13:48                                                     |
| import EvoRunnerParameters                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/JavaFastPFOR/src/test/java/com/kamikaze/pfordelta/Simple16WithHardCodes_ESTest.java:13:1:13:48                                         |
