| import BufferedInputStream                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:11:1:11:35                                         |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:21:1:21:27                                             |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ExecuteException.java:20:1:20:27                                            |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ExecuteStreamHandler.java:20:1:20:27                                        |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Executor.java:21:1:21:27                                                    |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/LogOutputStream.java:21:1:21:27                                             |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:20:1:20:27                                           |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/StreamPumper.java:20:1:20:27                                                |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/EnvironmentUtils.java:20:1:20:27                                |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment.java:21:1:21:27                    |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncher.java:21:1:21:27                                    |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherImpl.java:21:1:21:27                                |
