jansi.src.main.org.fusesource.jansi.AnsiColors_python_partial.json, AnsiColors, 30-32:AnsiColors, success, 2
jansi.src.main.org.fusesource.jansi.AnsiColors_python_partial.json, AnsiColors, 34-36:getDescription, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, CHAR_INFO, 253-253:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, CONSOLE_SCREEN_BUFFER_INFO, 149-151:windowHeight, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, CONSOLE_SCREEN_BUFFER_INFO, 145-147:windowWidth, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, CONSOLE_SCREEN_BUFFER_INFO, 135-135:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, COORD, 117-122:copy, success, 5
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, COORD, 110-110:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, SMALL_RECT, 88-95:copy, success, 7
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, SMALL_RECT, 84-86:height, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, SMALL_RECT, 80-82:width, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, SMALL_RECT, 71-71:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, FOCUS_EVENT_RECORD, 390-390:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, INPUT_RECORD, 436-436:memmove, success, 21
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, INPUT_RECORD, 421-421:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, MENU_EVENT_RECORD, 405-405:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, WINDOW_BUFFER_SIZE_RECORD, 376-378:toString, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, WINDOW_BUFFER_SIZE_RECORD, 370-370:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, MOUSE_EVENT_RECORD, 351-357:toString, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, MOUSE_EVENT_RECORD, 322-322:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, KEY_EVENT_RECORD, 301-309:toString, success, 2
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, KEY_EVENT_RECORD, 281-281:init, success, 3
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 526-535:getErrorMessage, success, 10
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 521-524:getLastErrorMessage, error, 5
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 499-519:readConsoleKeyInput, success, 18
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 462-491:readConsoleInputHelper, success, 22
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 457-457:FlushConsoleInputBuffer, success, 14
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 452-452:GetNumberOfConsoleInputEvents, success, 15
jansi.src.main.org.fusesource.jansi.internal.Kernel32_python_partial.json, Kernel32, 264-270:ScrollConsoleScreenBuffer, success, 39
