TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
dk.tbsalling.aismessages.AISInputStreamReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9131944444444444,33,28
dk.tbsalling.aismessages.demo.SimpleDemoApp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7916666666666666,32,21
dk.tbsalling.aismessages.nmea.NMEAMessageInputStreamReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5394345238095238,64,28
dk.tbsalling.aismessages.nmea.exceptions.UnsupportedMessageType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
dk.tbsalling.aismessages.nmea.exceptions.NMEAParseException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,37,35
dk.tbsalling.aismessages.nmea.exceptions.InvalidMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
dk.tbsalling.aismessages.nmea.NMEAMessageHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.39699432404540763,131,36
dk.tbsalling.aismessages.nmea.NMEAMessageSocketClient,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7135854341736695,42,23
dk.tbsalling.aismessages.nmea.messages.NMEAMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2076050420168067,391,85
dk.tbsalling.aismessages.ais.exceptions.UnsupportedMessageType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
dk.tbsalling.aismessages.ais.exceptions.InvalidAISMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
dk.tbsalling.aismessages.ais.Decoders,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.528125,269,5
dk.tbsalling.aismessages.ais.messages.PositionReportClassAScheduled,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,29,6
dk.tbsalling.aismessages.ais.messages.UTCAndDateResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.17575639310139757,334,47
dk.tbsalling.aismessages.ais.messages.Metadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8951175682261209,162,141
dk.tbsalling.aismessages.ais.messages.ChannelManagement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.14536544884327143,439,48
dk.tbsalling.aismessages.ais.messages.Error,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8712121212121212,70,64
dk.tbsalling.aismessages.ais.messages.AssignedModeCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.21342271858576206,281,71
dk.tbsalling.aismessages.ais.messages.DataLinkManagement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.12408597367518436,608,48
dk.tbsalling.aismessages.ais.messages.BaseStationReport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.09129464285714287,353,6
dk.tbsalling.aismessages.ais.messages.types.ShipType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8991319444444444,190,179
dk.tbsalling.aismessages.ais.messages.types.StationType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8967105263157895,84,73
dk.tbsalling.aismessages.ais.messages.types.ITDMACommunicationState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2972116731307908,102,24
dk.tbsalling.aismessages.ais.messages.types.ReportingInterval,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8967105263157895,84,73
dk.tbsalling.aismessages.ais.messages.types.PositionFixingDevice,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8947916666666667,70,59
dk.tbsalling.aismessages.ais.messages.types.TxRxMode,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8910714285714285,60,49
dk.tbsalling.aismessages.ais.messages.types.AISMessageType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8979838709677419,108,97
dk.tbsalling.aismessages.ais.messages.types.MMSI,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9545454545454546,95,91
dk.tbsalling.aismessages.ais.messages.types.NavigationStatus,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8967105263157895,84,73
dk.tbsalling.aismessages.ais.messages.types.CommunicationState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,12,0
dk.tbsalling.aismessages.ais.messages.types.SOTDMACommunicationState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.14629057611686905,298,17
dk.tbsalling.aismessages.ais.messages.types.IMO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9545454545454546,95,91
dk.tbsalling.aismessages.ais.messages.types.SyncState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8910714285714285,60,49
dk.tbsalling.aismessages.ais.messages.types.AidType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8982142857142857,116,105
dk.tbsalling.aismessages.ais.messages.types.TransponderClass,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7951923076923078,32,19
dk.tbsalling.aismessages.ais.messages.types.ManeuverIndicator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8895833333333334,58,47
dk.tbsalling.aismessages.ais.messages.BinaryAcknowledge,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.16011391625615762,484,90
dk.tbsalling.aismessages.ais.messages.PositionReportClassAAssignedSchedule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,29,6
dk.tbsalling.aismessages.ais.messages.ExtendedClassBEquipmentPositionReport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13007874362775368,614,47
dk.tbsalling.aismessages.ais.messages.PositionReport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18487142615462696,464,41
dk.tbsalling.aismessages.ais.messages.ShipAndVoyageData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10708067198241074,712,41
dk.tbsalling.aismessages.ais.messages.StandardSARAircraftPositionReport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15016782686105395,461,47
dk.tbsalling.aismessages.ais.messages.GroupAssignmentCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.17283692185007973,360,47
dk.tbsalling.aismessages.ais.messages.LongRangeBroadcastMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18094036787585177,403,70
