joda-convert.src.main.org.joda.convert.FromStringConverter_python_partial.json, FromStringConverter, 35-35:convertFromString, error, 7
joda-convert.src.main.org.joda.convert.ToStringConverter_python_partial.json, ToStringConverter, 34-34:convertToString, error, 12
joda-convert.src.main.org.joda.convert.TypedFromStringConverter_python_partial.json, TypedFromStringConverter, 38-38:getEffectiveType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, GenericArrayTypeImpl, 295-301:equals, error, 5
joda-convert.src.main.org.joda.convert.Types_python_partial.json, GenericArrayTypeImpl, 290-292:hashCode, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, GenericArrayTypeImpl, 285-287:toString, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, GenericArrayTypeImpl, 280-282:getGenericComponentType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, GenericArrayTypeImpl, 275-277:GenericArrayTypeImpl, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 365-373:equals, error, 7
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 358-362:hashCode, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 337-355:toString, error, 16
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 332-334:getOwnerType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 327-329:getRawType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 322-324:getActualTypeArguments, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ParameterizedTypeImpl, 312-319:ParameterizedTypeImpl, error, 8
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableImpl, 488-510:equals, error, 13
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableImpl, 483-485:hashCode, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableImpl, 478-480:toString, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableImpl, 473-475:getName, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableImpl, 469-471:getGenericDeclaration, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableImpl, 462-467:TypeVariableImpl, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableInvocationHandler, 441-453:invoke, error, 12
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVariableInvocationHandler, 436-438:TypeVariableInvocationHandler, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, WildcardTypeImpl, 551-560:toString, error, 11
joda-convert.src.main.org.joda.convert.Types_python_partial.json, WildcardTypeImpl, 546-548:hashCode, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, WildcardTypeImpl, 536-543:equals, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, WildcardTypeImpl, 531-533:getUpperBounds, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, WildcardTypeImpl, 526-528:getLowerBounds, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, WildcardTypeImpl, 518-523:WildcardTypeImpl, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVisitor, 211-238:visit, error, 22
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVisitor, 248-248:visitWildcardType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVisitor, 246-246:visitTypeVariable, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVisitor, 244-244:visitParameterizedType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVisitor, 242-242:visitGenericArrayType, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, TypeVisitor, 240-240:visitClass, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ClassOwnership, 127-139:detectJvmBehavior, error, 15
joda-convert.src.main.org.joda.convert.Types_python_partial.json, ClassOwnership, 123-123:getOwnerType, error, 10
joda-convert.src.main.org.joda.convert.Types_python_partial.json, JavaVersion, 704-710:usedInGenericType1, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, JavaVersion, 700-702:jdkTypeDuplicatesOwnerName, error, 2
joda-convert.src.main.org.joda.convert.Types_python_partial.json, JavaVersion, 696-698:typeName, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, JavaVersion, 694-694:usedInGenericType0, error, 6
joda-convert.src.main.org.joda.convert.Types_python_partial.json, JavaVersion, 692-692:newArrayType, error, 6
